week_start,pizza_near_me,coffee_near_me,finals_school_count_week,is_finals_week,week_end,month,year,pizza_near_me_ma4,coffee_near_me_ma4
2018-12-31,49.0,28.0,0,0,2019-01-06,12,2018,49.0,28.0
2019-01-28,52.0,31.0,0,0,2019-02-03,1,2019,50.5,29.5
2019-02-25,49.0,33.0,0,0,2019-03-03,2,2019,50.0,30.666666666666668
2019-04-01,52.0,37.0,0,0,2019-04-07,4,2019,50.5,32.25
2019-04-29,57.0,40.0,0,0,2019-05-05,4,2019,52.5,35.25
2019-05-27,68.0,49.0,0,0,2019-06-02,5,2019,56.5,39.75
2019-07-01,76.0,60.0,0,0,2019-07-07,7,2019,63.25,46.5
2019-07-29,75.0,60.0,0,0,2019-08-04,7,2019,69.0,52.25
2019-08-26,61.0,51.0,0,0,2019-09-01,8,2019,70.0,55.0
2019-09-30,59.0,42.0,0,0,2019-10-06,9,2019,67.75,53.25
2019-10-28,59.0,40.0,0,0,2019-11-03,10,2019,63.5,48.25
2019-11-25,61.0,36.0,0,0,2019-12-01,11,2019,60.0,42.25
2019-12-30,58.0,35.0,0,0,2020-01-05,12,2019,59.25,38.25
2020-01-27,60.0,34.0,0,0,2020-02-02,1,2020,59.5,36.25
2020-02-24,49.0,26.0,0,0,2020-03-01,2,2020,57.0,32.75
2020-03-30,50.0,16.0,0,0,2020-04-05,3,2020,54.25,27.75
2020-04-27,55.0,21.0,0,0,2020-05-03,4,2020,53.5,24.25
2020-06-01,65.0,29.0,0,0,2020-06-07,6,2020,54.75,23.0
2020-06-29,81.0,40.0,0,0,2020-07-05,6,2020,62.75,26.5
2020-07-27,77.0,50.0,0,0,2020-08-02,7,2020,69.5,35.0
2020-08-31,65.0,47.0,0,0,2020-09-06,8,2020,72.0,41.5
2020-09-28,71.0,51.0,0,0,2020-10-04,9,2020,73.5,47.0
2020-10-26,58.0,34.0,0,0,2020-11-01,10,2020,67.75,45.5
2020-11-30,68.0,31.0,0,0,2020-12-06,11,2020,65.5,40.75
2020-12-28,66.0,37.0,0,0,2021-01-03,12,2020,65.75,38.25
2021-02-01,59.0,33.0,0,0,2021-02-07,2,2021,62.75,33.75
2021-03-01,67.0,36.0,0,0,2021-03-07,3,2021,65.0,34.25
2021-03-29,73.0,46.0,0,0,2021-04-04,3,2021,66.25,38.0
2021-04-26,80.0,56.0,0,0,2021-05-02,4,2021,69.75,42.75
2021-05-31,87.0,64.0,0,0,2021-06-06,5,2021,76.75,50.5
2021-06-28,100.0,72.0,0,0,2021-07-04,6,2021,85.0,59.5
2021-07-26,91.0,70.0,0,0,2021-08-01,7,2021,89.5,65.5
2021-08-30,83.0,67.0,0,0,2021-09-05,8,2021,90.25,68.25
2021-09-27,81.0,66.0,0,0,2021-10-03,9,2021,88.75,68.75
2021-11-01,67.0,56.0,0,0,2021-11-07,11,2021,80.5,64.75
2021-11-29,76.0,53.0,0,0,2021-12-05,11,2021,76.75,60.5
2021-12-27,61.0,39.0,0,0,2022-01-02,12,2021,71.25,53.5
2022-01-31,57.0,40.0,0,0,2022-02-06,1,2022,65.25,47.0
2022-02-28,57.0,44.0,0,0,2022-03-06,2,2022,62.75,44.0
2022-03-28,64.0,49.0,0,0,2022-04-03,3,2022,59.75,43.0
2022-04-25,63.0,49.0,0,0,2022-05-01,4,2022,60.25,45.5
2022-05-30,62.0,57.0,0,0,2022-06-05,5,2022,61.5,49.75
2022-06-27,84.0,66.0,0,0,2022-07-03,6,2022,68.25,55.25
2022-08-01,72.0,64.0,0,0,2022-08-07,8,2022,70.25,59.0
2022-08-29,61.0,58.0,0,0,2022-09-04,8,2022,69.75,61.25
2022-09-26,61.0,55.0,0,0,2022-10-02,9,2022,69.5,60.75
2022-10-31,48.0,44.0,0,0,2022-11-06,10,2022,60.5,55.25
2022-11-28,58.0,46.0,0,0,2022-12-04,11,2022,57.0,50.75
2022-12-26,48.0,40.0,0,0,2023-01-01,12,2022,53.75,46.25
2023-01-30,55.0,43.0,0,0,2023-02-05,1,2023,52.25,43.25
2023-02-27,51.0,44.0,0,0,2023-03-05,2,2023,53.0,43.25
