school,term,year,finals_start,finals_end,source_url,,,,,
MIT,Unknown,2025,2025-08-18,2025-08-18,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-08-19,2025-08-19,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-08-21,2025-08-21,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-09-05,2025-09-05,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-10-10,2025-10-10,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-10-14,2025-10-14,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-10-15,2025-10-15,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-10-16,2025-10-16,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Unknown,2025,2025-10-17,2025-10-17,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-05,2025-12-05,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-15,2025-12-15,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-16,2025-12-16,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-17,2025-12-17,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-18,2025-12-18,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
MIT,Fall,2025,2025-12-19,2025-12-19,https://registrar.mit.edu/calendar-ical/current/all/all/calendar.ics,,,,,
Boston Uni,Fall,2025,2025-12-15,2025-12-19,https://www.bu.edu/reg/calendars/semester/,,,,,
Boston Uni,Spring,2025,2026-05-05,2026-05-09,https://www.bu.edu/reg/calendars/semester/,,,,,
Boston Uni,Fall,2024,2024-12-16,2024-12-20,https://www.bu.edu/reg/calendars/semester/,,,,,
Boston Uni,Spring,2024,2025-05-06,2025-05-10,https://www.bu.edu/reg/calendars/semester/,,,,,
